study site,impact types,quadrat,trial,burrow size,latitude,longitude,beach width,distance to vegetation,day,month,year
Debidue Island,P,T1,1,69,33.331293,-79.161694,26.61,0.26,24,August,2016
Debidue Island,P,T1,1,54,33.331293,-79.161694,26.61,0.49,24,August,2016
Debidue Island,P,T1,1,43,33.331293,-79.161694,26.61,3.26,24,August,2016
Debidue Island,P,T1,1,58,33.331293,-79.161694,26.61,2.14,24,August,2016
Debidue Island,P,T1,1,73,33.331293,-79.161694,26.61,0.59,24,August,2016
Debidue Island,P,T1,1,36,33.331293,-79.161694,26.61,0.75,24,August,2016
Debidue Island,P,T1,1,42,33.331293,-79.161694,26.61,0.55,24,August,2016
Debidue Island,P,T1,1,64,33.331293,-79.161694,26.61,0.71,24,August,2016
Debidue Island,P,T1,1,58,33.331293,-79.161694,26.61,2.13,24,August,2016
Debidue Island,P,T1,1,29,33.331293,-79.161694,26.61,1.02,24,August,2016
Debidue Island,P,T1,1,39,33.331293,-79.161694,26.61,0.92,24,August,2016
Debidue Island,P,T1,1,44,33.331293,-79.161694,26.61,1.24,24,August,2016
Debidue Island,P,T1,1,51,33.331293,-79.161694,26.61,1.55,24,August,2016
Debidue Island,P,T1,1,37,33.331293,-79.161694,26.61,3.26,24,August,2016
Debidue Island,P,T1,1,49,33.331293,-79.161694,26.61,4.72,24,August,2016
Debidue Island,P,T1,1,64,33.331293,-79.161694,26.61,0.52,24,August,2016
Debidue Island,P,T1,1,70,33.331293,-79.161694,26.61,0.56,24,August,2016
Debidue Island,P,T1,1,58,33.331293,-79.161694,26.61,1.23,24,August,2016
Debidue Island,P,T1,1,29,33.331293,-79.161694,26.61,2.13,24,August,2016
Debidue Island,P,T1,1,58,33.331293,-79.161694,26.61,0.74,24,August,2016
Debidue Island,P,T1,1,46,33.331293,-79.161694,26.61,0.52,24,August,2016
Debidue Island,P,T1,1,37,33.331293,-79.161694,26.61,0.13,24,August,2016
Debidue Island,P,T1,1,49,33.331293,-79.161694,26.61,0.62,24,August,2016
Debidue Island,P,T1,1,55,33.331293,-79.161694,26.61,0.85,24,August,2016
Debidue Island,P,T1,1,59,33.331293,-79.161694,26.61,0.16,24,August,2016
Debidue Island,P,T1,1,34,33.331293,-79.161694,26.61,0.55,24,August,2016
Debidue Island,P,T1,1,49,33.331293,-79.161694,26.61,2.01,24,August,2016
Debidue Island,P,T1,1,65,33.331293,-79.161694,26.61,0.96,24,August,2016
Debidue Island,P,T1,1,45,33.331293,-79.161694,26.61,3.36,24,August,2016
Debidue Island,P,T1,1,22,33.331293,-79.161694,26.61,0.86,24,August,2016
Debidue Island,P,T1,1,50,33.331293,-79.161694,26.61,0.95,24,August,2016
Debidue Island,P,T1,1,44,33.331293,-79.161694,26.61,0.36,24,August,2016
Debidue Island,P,T1,1,19,33.331293,-79.161694,26.61,0.88,24,August,2016
Debidue Island,P,T1,1,47,33.331293,-79.161694,26.61,0.92,24,August,2016
Debidue Island,P,T1,1,58,33.331293,-79.161694,26.61,0.74,24,August,2016
Debidue Island,P,T1,1,18,33.331293,-79.161694,26.61,2.94,24,August,2016
Debidue Island,P,T1,1,37,33.331293,-79.161694,26.61,1.74,24,August,2016
