site,impact types,quadrat,julian day,burrow number,burrow density,latitude,longitude,day,month,year
Debidue Island,P,T1,237,46,0.92,33.331293,-79.161694,24,August,2016
Debidue Island,P,T1,237,43,0.86,33.331293,-79.161694,24,August,2016
Debidue Island,P,T1,237,39,0.78,33.331293,-79.161694,24,August,2016
Debidue Island,P,T2,237,55,1.1,33.331293,-79.161694,24,August,2016
Debidue Island,P,T2,237,48,0.96,33.331293,-79.161694,24,August,2016
Debidue Island,P,T2,237,50,1,33.331293,-79.161694,24,August,2016
Debidue Island,P,T3,237,37,0.74,33.331293,-79.161694,24,August,2016
Debidue Island,P,T3,237,34,0.68,33.331293,-79.161694,24,August,2016
Debidue Island,P,T3,237,33,0.66,33.331293,-79.161694,24,August,2016
Debidue Island,P,T4,237,59,1.18,33.331293,-79.161694,24,August,2016
Debidue Island,P,T4,237,53,1.06,33.331293,-79.161694,24,August,2016
Debidue Island,P,T4,237,60,1.2,33.331293,-79.161694,24,August,2016
Debidue Island,P,T5,237,54,1.08,33.331293,-79.161694,24,August,2016
Debidue Island,P,T5,237,51,1.02,33.331293,-79.161694,24,August,2016
Debidue Island,P,T5,237,46,0.92,33.331293,-79.161694,24,August,2016
South Island 1,P,T1,272,41,0.82,33.18564722,-79.18603333,28,September,2016
South Island 1,P,T1,272,48,0.96,33.18564722,-79.18603333,28,September,2016
South Island 1,P,T1,272,41,0.82,33.18564722,-79.18603333,28,September,2016
South Island 1,P,T2,272,50,1,33.18564722,-79.18603333,28,September,2016
South Island 1,P,T2,272,55,1.1,33.18564722,-79.18603333,28,September,2016
South Island 1,P,T2,272,44,0.88,33.18564722,-79.18603333,28,September,2016
South Island 1,P,T3,272,36,0.72,33.18564722,-79.18603333,28,September,2016
South Island 1,P,T3,272,42,0.84,33.18564722,-79.18603333,28,September,2016
South Island 1,P,T3,272,38,0.76,33.18564722,-79.18603333,28,September,2016
South Island 1,P,T4,272,56,1.12,33.18564722,-79.18603333,28,September,2016
South Island 1,P,T4,272,67,1.34,33.18564722,-79.18603333,28,September,2016
South Island 1,P,T4,272,52,1.04,33.18564722,-79.18603333,28,September,2016
South Island 1,P,T5,272,60,1.2,33.18564722,-79.18603333,28,September,2016
South Island 1,P,T5,272,39,0.78,33.18564722,-79.18603333,28,September,2016
South Island 1,P,T5,272,39,0.78,33.18564722,-79.18603333,28,September,2016
South Island 2,P,T1,272,38,0.76,33.17653611,-79.19138611,28,September,2016
South Island 2,P,T1,272,57,1.14,33.17653611,-79.19138611,28,September,2016
South Island 2,P,T1,272,47,0.94,33.17653611,-79.19138611,28,September,2016
South Island 2,P,T2,272,54,1.08,33.17653611,-79.19138611,28,September,2016
South Island 2,P,T2,272,53,1.06,33.17653611,-79.19138611,28,September,2016
South Island 2,P,T2,272,39,0.78,33.17653611,-79.19138611,28,September,2016
South Island 2,P,T3,272,48,0.96,33.17653611,-79.19138611,28,September,2016
South Island 2,P,T3,272,39,0.78,33.17653611,-79.19138611,28,September,2016
South Island 2,P,T3,272,49,0.98,33.17653611,-79.19138611,28,September,2016
South Island 2,P,T4,272,69,1.38,33.17653611,-79.19138611,28,September,2016
South Island 2,P,T4,272,55,1.1,33.17653611,-79.19138611,28,September,2016
South Island 2,P,T4,272,44,0.88,33.17653611,-79.19138611,28,September,2016
South Island 2,P,T5,272,54,1.08,33.17653611,-79.19138611,28,September,2016
South Island 2,P,T5,272,35,0.7,33.17653611,-79.19138611,28,September,2016
South Island 2,P,T5,272,39,0.78,33.17653611,-79.19138611,28,September,2016
North Island 1,P,T1,270,46,0.92,33.320001,-79.165113,26,September,2016
North Island 1,P,T1,270,59,1.18,33.320001,-79.165113,26,September,2016
North Island 1,P,T1,270,42,0.84,33.320001,-79.165113,26,September,2016
North Island 1,P,T2,270,56,1.12,33.320001,-79.165113,26,September,2016
North Island 1,P,T2,270,30,0.6,33.320001,-79.165113,26,September,2016
North Island 1,P,T2,270,73,1.46,33.320001,-79.165113,26,September,2016
