site,impact types,burrow ID,distance to vegetation (m),burrow temperature,burrow humidity,ambient temperature,ambient humidity,latitude,longitude,day,month,year
Debidue Island,P,1,8.16,24.56,74.89,29.82,69.56,33.331293,-79.161694,24,August,2016
Debidue Island,P,2,4.28,27.74,78.41,29.82,69.56,33.331293,-79.161694,24,August,2016
Debidue Island,P,3,9.67,27.52,72.97,29.82,69.56,33.331293,-79.161694,24,August,2016
Debidue Island,P,4,13.52,26.49,70.22,29.82,69.56,33.331293,-79.161694,24,August,2016
Debidue Island,P,5,11.44,27.08,71.83,29.82,69.56,33.331293,-79.161694,24,August,2016
Debidue Island,P,6,1.55,26.72,73.62,29.82,69.56,33.331293,-79.161694,24,August,2016
Debidue Island,P,7,3.48,26.98,73.42,29.82,69.56,33.331293,-79.161694,24,August,2016
Debidue Island,P,8,2.05,26.36,74.88,29.82,69.56,33.331293,-79.161694,24,August,2016
Debidue Island,P,9,9.77,25.54,72.81,29.82,69.56,33.331293,-79.161694,24,August,2016
Debidue Island,P,10,1.88,23.97,73.84,29.82,69.56,33.331293,-79.161694,24,August,2016
North Island 1,P,1,8.23,22.39,78.3,26.5,71.32,33.320001,-79.165113,26,September,2016
North Island 1,P,2,7.11,24.95,73.45,26.5,71.32,33.320001,-79.165113,26,September,2016
North Island 1,P,3,22.6,23.08,75.63,26.5,71.32,33.320001,-79.165113,26,September,2016
North Island 1,P,4,20.87,24.51,73.7,26.5,71.32,33.320001,-79.165113,26,September,2016
North Island 1,P,5,22.35,22.85,72.85,26.5,71.32,33.320001,-79.165113,26,September,2016
North Island 1,P,6,2.37,25.59,73.27,26.5,71.32,33.320001,-79.165113,26,September,2016
North Island 1,P,7,1.49,24.71,72.81,26.5,71.32,33.320001,-79.165113,26,September,2016
North Island 1,P,8,8.64,25.94,74.88,26.5,71.32,33.320001,-79.165113,26,September,2016
North Island 1,P,9,19.25,26.16,76.47,26.5,71.32,33.320001,-79.165113,26,September,2016
North Island 2,P,1,24.31,23.07,73.3,26.5,71.32,33.320001,-79.165113,26,September,2016
North Island 2,P,2,12.84,23.59,74.66,26.5,71.32,33.320001,-79.165113,26,September,2016
North Island 2,P,3,11.8,24.93,72.98,26.5,71.32,33.320001,-79.165113,26,September,2016
North Island 2,P,4,17.31,22.33,74.38,26.5,71.32,33.320001,-79.165113,26,September,2016
North Island 2,P,5,11.42,25.51,72.37,26.5,71.32,33.320001,-79.165113,26,September,2016
North Island 2,P,6,13.58,24.85,73.95,26.5,71.32,33.320001,-79.165113,26,September,2016
North Island 2,P,7,26.13,24.26,74.83,26.5,71.32,33.320001,-79.165113,26,September,2016
North Island 2,P,8,12.57,24.78,76.3,26.5,71.32,33.320001,-79.165113,26,September,2016
South Island 1,P,1,8.32,25.66,73.65,28.38,69.95,33.18564722,-79.18603333,28,September,2016
South Island 1,P,2,2.74,26.32,71.7,28.38,69.95,33.18564722,-79.18603333,28,September,2016
South Island 1,P,3,16.21,27.37,72.53,28.38,69.95,33.18564722,-79.18603333,28,September,2016
South Island 1,P,4,9.65,25.34,74.24,28.38,69.95,33.18564722,-79.18603333,28,September,2016
South Island 1,P,5,19.21,26.8,72.03,28.38,69.95,33.18564722,-79.18603333,28,September,2016
South Island 1,P,6,11.33,25.63,71.58,28.38,69.95,33.18564722,-79.18603333,28,September,2016
South Island 1,P,7,14.72,26.84,72.72,28.38,69.95,33.18564722,-79.18603333,28,September,2016
South Island 1,P,8,19.65,26.41,73.89,28.38,69.95,33.18564722,-79.18603333,28,September,2016
South Island 1,P,9,14.31,27.2,71.32,28.38,69.95,33.18564722,-79.18603333,28,September,2016
South Island 1,P,10,16.57,25.86,74.19,28.38,69.95,33.18564722,-79.18603333,28,September,2016
South Island 2,P,1,6.42,25.31,73.98,28.38,69.95,33.17653611,-79.19138611,28,September,2016
South Island 2,P,2,2.56,27.08,70.59,28.38,69.95,33.17653611,-79.19138611,28,September,2016
South Island 2,P,3,13.57,25.51,72.91,28.38,69.95,33.17653611,-79.19138611,28,September,2016
South Island 2,P,4,14.21,26.18,71.15,28.38,69.95,33.17653611,-79.19138611,28,September,2016
South Island 2,P,5,19.62,26.03,72.06,28.38,69.95,33.17653611,-79.19138611,28,September,2016
South Island 2,P,6,12.54,25.85,73.99,28.38,69.95,33.17653611,-79.19138611,28,September,2016
South Island 2,P,7,16.37,25,72.25,28.38,69.95,33.17653611,-79.19138611,28,September,2016
South Island 2,P,8,6.72,26.28,71.54,28.38,69.95,33.17653611,-79.19138611,28,September,2016
South Island 2,P,9,8.36,27.11,70.06,28.38,69.95,33.17653611,-79.19138611,28,September,2016
Pawleys Island 1,MI,1,14.27,25.31,70.68,27.13,73.71,33.60381167,-79.116491,26,May,2016
Pawleys Island 1,MI,2,20.12,25.18,69.64,27.13,73.71,33.60381167,-79.116491,26,May,2016
Pawleys Island 1,MI,3,18.83,24.57,67.04,27.13,73.71,33.60381167,-79.116491,26,May,2016
Pawleys Island 1,MI,4,21.45,24.04,73.03,27.13,73.71,33.60381167,-79.116491,26,May,2016
Pawleys Island 1,MI,5,19.32,23.3,72.82,27.13,73.71,33.60381167,-79.116491,26,May,2016
Pawleys Island 1,MI,6,11.27,23.32,65,27.13,73.71,33.60381167,-79.116491,26,May,2016
Pawleys Island 1,MI,7,18.32,23.77,64.97,27.13,73.71,33.60381167,-79.116491,26,May,2016
Pawleys Island 1,MI,8,8.44,22.85,68.14,27.13,73.71,33.60381167,-79.116491,26,May,2016
