site,impact types,burrow shape,beach slope,sand compaction,sand grain size,inclination angle,burrow depth,average burrow diameter,burrow opening diameter (mm),burrow length,distance to vegetation,burrow temperature,burrow humidity,latitude,longitude,day,month,year
Debidue Island,P,I,4.86,0.043,0.279056667,67,49,52.41,54,77,8.16,24.56,74.89,33.331293,-79.161694,24,August,2016
Debidue Island,P,Y,4.86,0.043,0.279056667,63,41,44.75,46,74,4.28,27.74,78.41,33.331293,-79.161694,24,August,2016
Debidue Island,P,Y,4.86,0.043,0.279056667,59,37,42.5,45,73,9.67,27.52,72.97,33.331293,-79.161694,24,August,2016
Debidue Island,P,I,4.86,0.043,0.279056667,71,45,49.26,48,63,13.52,26.49,70.22,33.331293,-79.161694,24,August,2016
Debidue Island,P,L,4.86,0.043,0.279056667,68,39,39.56,41,65,11.44,27.08,71.83,33.331293,-79.161694,24,August,2016
Debidue Island,P,I,4.86,0.043,0.279056667,72,35,36.41,38,52,1.55,26.72,73.62,33.331293,-79.161694,24,August,2016
Debidue Island,P,V,4.86,0.043,0.279056667,64,39,33,35,83,3.48,26.98,73.42,33.331293,-79.161694,24,August,2016
Debidue Island,P,L,4.86,0.043,0.279056667,74,29,26.38,28,49,2.05,26.36,74.88,33.331293,-79.161694,24,August,2016
Debidue Island,P,L,4.86,0.043,0.279056667,66,30,24.25,26,47,9.77,25.54,72.81,33.331293,-79.161694,24,August,2016
Debidue Island,P,I,4.86,0.043,0.279056667,69,23,20.5,21,36,1.88,23.97,73.84,33.331293,-79.161694,24,August,2016
North Island 1,P,J,3.052,0.04,0.2685892,72,51,52.18,54,79,8.23,22.39,78.3,33.320001,-79.165113,26,September,2016
North Island 1,P,M,3.052,0.04,0.2685892,58,49,64.25,66,108,7.11,24.95,73.45,33.320001,-79.165113,26,September,2016
North Island 1,P,I,3.052,0.04,0.2685892,53,56,49.8,52,74,22.6,23.08,75.63,33.320001,-79.165113,26,September,2016
North Island 1,P,L,3.052,0.04,0.2685892,67,39,37.1,41,63,20.87,24.51,73.7,33.320001,-79.165113,26,September,2016
North Island 1,P,Y,3.052,0.04,0.2685892,54,42,43.11,46,69,22.35,22.85,72.85,33.320001,-79.165113,26,September,2016
North Island 1,P,L,3.052,0.04,0.2685892,62,24,38.2,37,42,2.37,25.59,73.27,33.320001,-79.165113,26,September,2016
North Island 1,P,Y,3.052,0.04,0.2685892,49,21,26.25,29,47,1.49,24.71,72.81,33.320001,-79.165113,26,September,2016
North Island 1,P,U,3.052,0.04,0.2685892,63,30,30.18,32,72,8.64,25.94,74.88,33.320001,-79.165113,26,September,2016
North Island 1,P,Y,3.052,0.04,0.2685892,58,19,19.2,21,38,19.25,26.16,76.47,33.320001,-79.165113,26,September,2016
North Island 2,P,J,3.45,0.046,0.280900933,54,53,57.14,59,88,24.31,23.07,73.3,33.320001,-79.165113,26,September,2016
North Island 2,P,L,3.45,0.046,0.280900933,61,46,42,44,67,12.84,23.59,74.66,33.320001,-79.165113,26,September,2016
North Island 2,P,J,3.45,0.046,0.280900933,47,30,37.75,41,53,11.8,24.93,72.98,33.320001,-79.165113,26,September,2016
North Island 2,P,I,3.45,0.046,0.280900933,66,39,49.7,49,55,17.31,22.33,74.38,33.320001,-79.165113,26,September,2016
North Island 2,P,Y,3.45,0.046,0.280900933,49,27,28.4,31,44,11.42,25.51,72.37,33.320001,-79.165113,26,September,2016
North Island 2,P,J,3.45,0.046,0.280900933,77,26,39,38,48,13.58,24.85,73.95,33.320001,-79.165113,26,September,2016
North Island 2,P,Y,3.45,0.046,0.280900933,51,19,22.86,24,38,26.13,24.26,74.83,33.320001,-79.165113,26,September,2016
North Island 2,P,Y,3.45,0.046,0.280900933,43,22,15.22,17,39,12.57,24.78,76.3,33.320001,-79.165113,26,September,2016
South Island 1,P,J,6.48,0.043,0.2758396,63,53,51.44,52,73,8.32,25.66,73.65,33.18564722,-79.18603333,28,September,2016
South Island 1,P,J,6.48,0.043,0.2758396,64,43,49.75,52,68,2.74,26.32,71.7,33.18564722,-79.18603333,28,September,2016
South Island 1,P,Y,6.48,0.043,0.2758396,52,41,46.25,49,70,16.21,27.37,72.53,33.18564722,-79.18603333,28,September,2016
South Island 1,P,I,6.48,0.043,0.2758396,63,44,43.25,41,66,9.65,25.34,74.24,33.18564722,-79.18603333,28,September,2016
South Island 1,P,L,6.48,0.043,0.2758396,68,22,24.5,26,41,19.21,26.8,72.03,33.18564722,-79.18603333,28,September,2016
South Island 1,P,Y,6.48,0.043,0.2758396,66,41,31,32,69,11.33,25.63,71.58,33.18564722,-79.18603333,28,September,2016
South Island 1,P,I,6.48,0.043,0.2758396,51,37,32.63,30,49,14.72,26.84,72.72,33.18564722,-79.18603333,28,September,2016
South Island 1,P,Y,6.48,0.043,0.2758396,65,31,24.1,26,53,19.65,26.41,73.89,33.18564722,-79.18603333,28,September,2016
South Island 1,P,L,6.48,0.043,0.2758396,59,37,30,29,54,14.31,27.2,71.32,33.18564722,-79.18603333,28,September,2016
South Island 1,P,Y,6.48,0.043,0.2758396,55,23,16.3,19,47,16.57,25.86,74.19,33.18564722,-79.18603333,28,September,2016
South Island 2,P,J,6.63,0.05,0.2869308,58,37,55.75,56,57,6.42,25.31,73.98,33.17653611,-79.19138611,28,September,2016
South Island 2,P,M,6.63,0.05,0.2869308,62,38,44.5,48,86,2.56,27.08,70.59,33.17653611,-79.19138611,28,September,2016
South Island 2,P,L,6.63,0.05,0.2869308,67,24,37.36,41,51,13.57,25.51,72.91,33.17653611,-79.19138611,28,September,2016
South Island 2,P,I,6.63,0.05,0.2869308,64,31,39.04,37,49,14.21,26.18,71.15,33.17653611,-79.19138611,28,September,2016
South Island 2,P,J,6.63,0.05,0.2869308,62,33,23.36,28,52,19.62,26.03,72.06,33.17653611,-79.19138611,28,September,2016
South Island 2,P,L,6.63,0.05,0.2869308,68,21,24.52,26,42,12.54,25.85,73.99,33.17653611,-79.19138611,28,September,2016
South Island 2,P,M,6.63,0.05,0.2869308,59,26,32.11,32,78,16.37,25,72.25,33.17653611,-79.19138611,28,September,2016
South Island 2,P,I,6.63,0.05,0.2869308,66,26,25.71,23,46,6.72,26.28,71.54,33.17653611,-79.19138611,28,September,2016
South Island 2,P,I,6.63,0.05,0.2869308,56,15,12.67,12,29,8.36,27.11,70.06,33.17653611,-79.19138611,28,September,2016
Pawleys Island 1,MI,V,9.23,0.071,0.306404933,62,33,32.54,34,69,14.27,25.31,70.68,33.60381167,-79.116491,26,May,2016
Pawleys Island 1,MI,I,9.23,0.071,0.306404933,62,31,26.29,25,48,20.12,25.18,69.64,33.60381167,-79.116491,26,May,2016
